date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-01-03 00:00:00+05:30,10000.0000,10000.0000,0.0000,0.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,10000.0000,0.0000,,
2022-01-04 00:00:00+05:30,9951.6000,1185.8500,8765.7500,8814.1500,10000.0000,0.0000,-48.4000,0.0000,-48.4000,9951.6000,0.0000,0.0000,-48.4000,0.8800,0.8800,8765.7500,8765.7500,8765.7500,0.0000,1,0,-0.0048,-0.0048,0.0539,-0.0048,,,10097.5314,0.0098,,
2022-01-05 00:00:00+05:30,10111.9000,1185.8500,8926.0500,8814.1500,10000.0000,0.0000,111.9000,0.0000,111.9000,10111.9000,0.0000,0.0000,160.3000,0.8800,0.8800,8926.0500,8926.0500,8926.0500,0.0000,1,0,0.0161,0.0112,0.1540,0.0000,,,10154.4341,0.0056,,
2022-01-06 00:00:00+05:30,10005.2300,1270.2800,8734.9500,8806.4500,10000.0000,0.0000,-71.5000,76.7300,5.2300,10005.2300,0.0000,0.0000,-106.6700,0.8700,0.8700,8734.9500,8734.9500,8734.9500,0.0000,1,0,-0.0105,0.0005,0.1573,-0.0105,,,10062.7433,-0.0090,,
2022-01-07 00:00:00+05:30,10054.5800,1270.2800,8784.3000,8806.4500,10000.0000,0.0000,-22.1500,76.7300,54.5800,10054.5800,0.0000,0.0000,49.3500,0.8700,0.8700,8784.3000,8784.3000,8784.3000,0.0000,1,0,0.0049,0.0055,0.1449,-0.0057,,,10103.6838,0.0041,,
2022-01-10 00:00:00+05:30,10328.6300,1270.2800,9058.3500,8806.4500,10000.0000,0.0000,251.9000,76.7300,328.6300,10328.6300,0.0000,0.0000,274.0500,0.8800,0.8800,9058.3500,9058.3500,9058.3500,0.0000,1,0,0.0273,0.0329,0.2209,0.0000,,,10209.8626,0.0105,,
2022-01-11 00:00:00+05:30,10230.2800,1270.2800,8960.0000,8806.4500,10000.0000,0.0000,153.5500,76.7300,230.2800,10230.2800,0.0000,0.0000,-98.3500,0.8800,0.8800,8960.0000,8960.0000,8960.0000,0.0000,1,0,-0.0095,0.0230,0.2123,-0.0095,,,10240.2277,0.0030,,
2022-01-12 00:00:00+05:30,10442.0300,1270.2800,9171.7500,8806.4500,10000.0000,0.0000,365.3000,76.7300,442.0300,10442.0300,0.0000,0.0000,211.7500,0.8800,0.8800,9171.7500,9171.7500,9171.7500,0.0000,1,0,0.0207,0.0442,0.2301,0.0000,,,10318.8199,0.0077,,
2022-01-13 00:00:00+05:30,10505.0300,1270.2800,9234.7500,8806.4500,10000.0000,0.0000,428.3000,76.7300,505.0300,10505.0300,0.0000,0.0000,63.0000,0.8800,0.8800,9234.7500,9234.7500,9234.7500,0.0000,1,0,0.0060,0.0505,0.2193,0.0000,,,10352.2754,0.0032,,
2022-01-14 00:00:00+05:30,10846.2800,1270.2800,9576.0000,8806.4500,10000.0000,0.0000,769.5500,76.7300,846.2800,10846.2800,0.0000,0.0000,341.2500,0.8800,0.8800,9576.0000,9576.0000,9576.0000,0.0000,1,0,0.0325,0.0846,0.2644,0.0000,,,10340.3108,-0.0012,,
2022-01-17 00:00:00+05:30,11042.2800,1270.2800,9772.0000,8806.4500,10000.0000,0.0000,965.5500,76.7300,1042.2800,11042.2800,0.0000,0.0000,196.0000,0.8800,0.8800,9772.0000,9772.0000,9772.0000,0.0000,1,0,0.0181,0.1042,0.2666,0.0000,,,10382.3854,0.0041,,
